HR,Name,Hours RA,Minutes RA,Seconds RA,Degrees Dec,Minutes Dec,Seconds Dec,VisualMag,B-V
6410,65Del Her,17,15,01.9,+24,50,21,3.14,+0.08
6411,Iot Aps,17,22,05.9,-70,07,24,5.41,-0.04
6414,,17,16,31.7,+01,12,38,5.88,+0.06
6415,41    Oph,17,16,36.7,-00,26,43,4.73,+1.14
6416,,17,19,03.2,-46,38,02,5.48,+0.80
6417,Zet Aps,17,21,59.4,-67,46,14,4.78,+1.21
6418,67Pi  Her,17,15,02.8,+36,48,33,3.16,+1.44
6419,,17,15,41.6,+23,44,34,5.96,+1.31
6420,,17,18,48.0,-44,07,47,5.76,-0.05
6421,,17,12,32.6,+62,52,28,5.56,+0.21
6424,39Omi Oph,17,18,00.7,-24,17,13,5.20,+1.10
6426,,17,18,57.2,-34,59,23,5.91,+1.04
6429,,17,31,27.3,-80,51,33,5.88,+1.67
6431,68    Her,17,17,19.5,+33,06,00,4.82,-0.17
6433,,17,18,37.0,+10,51,52,5.03,+1.55
6436,69    Her,17,17,40.3,+37,17,30,4.65,+0.05
6438,,17,22,55.0,-58,00,37,5.88,+1.07
6440,,17,24,01.1,-62,51,51,5.70,-0.14
6442,,17,23,06.9,-56,31,31,5.80,+1.00
6443,,17,18,48.5,+28,49,23,5.65,+0.98
6444,,17,18,23.3,+38,48,41,5.94,+1.00
6445,40Xi  Oph,17,21,00.2,-21,06,46,4.39,+0.39
6446,53Nu  Ser,17,20,49.7,-12,50,49,4.33,+0.03
6447,,17,24,18.7,-60,40,25,5.77,-0.08
6451,Iot Ara,17,23,16.1,-47,28,06,5.25,-0.11
6452,,17,20,18.9,+18,03,26,5.00,+1.62
6453,42The Oph,17,22,00.6,-24,59,58,3.27,-0.22
6455,,17,20,09.8,+25,32,15,5.38,+0.03
6456,,17,22,54.9,-37,13,14,5.93,+1.08
6457,70    Her,17,20,54.2,+24,29,58,5.12,-0.03
6458,72    Her,17,20,39.6,+32,28,04,5.39,+0.62
6459,43    Oph,17,23,21.6,-28,08,35,5.35,+1.55
6460,,17,24,13.0,-44,09,45,5.12,-0.06
6461,Bet Ara,17,25,18.0,-55,31,48,2.85,+1.46
6462,Gam Ara,17,25,23.6,-56,22,39,3.34,-0.13
6464,74    Her,17,20,21.1,+46,14,27,5.59,+1.57
6468,Kap Ara,17,26,00.0,-50,38,01,5.23,+1.06
6469,,17,21,43.6,+39,58,28,5.51,+0.68
6472,,17,24,42.0,-21,26,30,5.85,+0.93
6476,,17,23,57.6,+08,51,10,5.77,+1.25
6477,,17,26,51.5,-45,50,37,5.29,-0.07
6478,,17,27,12.4,-50,37,49,5.92,+0.08
6479,,17,21,45.4,+53,25,14,5.67,+1.47
6480,73    Her,17,24,06.6,+22,57,37,5.74,+0.21
6481,,17,24,31.5,+16,18,04,5.71,+0.07
6483,,17,27,57.6,-52,17,50,5.75,+1.17
6484,75Rho Her,17,23,40.7,+37,08,48,5.47,
6485,75Rho Her,17,23,41.0,+37,08,45,4.52,-0.03
6486,44    Oph,17,26,22.2,-24,10,31,4.17,+0.28
6487,,17,28,38.7,-55,10,11,5.94,+1.11
6492,45    Oph,17,27,21.3,-29,52,01,4.29,+0.40
6493,,17,26,37.9,-05,05,12,4.54,+0.39
6495,,17,25,54.4,+16,55,03,5.98,+1.62
6498,49Sig Oph,17,26,30.9,+04,08,25,4.34,+1.50
6500,Del Ara,17,31,05.9,-60,41,02,3.62,-0.10
