HR,Name,Hours RA,Minutes RA,Seconds RA,Degrees Dec,Minutes Dec,Seconds Dec,VisualMag,B-V
5793,5Alp CrB,15,34,41.3,+26,42,53,2.23,-0.02
5854,24Alp Ser,15,44,16.1,+06,25,32,2.65,+1.17
5897,Bet TrA,15,55,08.5,-63,25,50,2.85,+0.29
5944,6Pi  Sco,15,58,51.1,-26,06,51,2.89,-0.19
5948,Eta Lup,16,00,07.3,-38,23,49,3.41,-0.22
5953,7Del Sco,16,00,20.0,-22,37,18,2.32,-0.12
5958,,15,59,30.2,+25,55,13,2.0,+0.1
5984,8Bet1Sco,16,05,26.2,-19,48,20,2.62,-0.07
6056,1Del Oph,16,14,20.7,-03,41,40,2.74,+1.58
6075,2Eps Oph,16,18,19.3,-04,41,33,3.24,+0.96
6084,20Sig Sco,16,21,11.3,-25,35,34,2.89,+0.13
6132,14Eta Dra,16,23,59.5,+61,30,51,2.74,+0.91
6134,21Alp Sco,16,29,24.4,-26,25,55,0.96,+1.83
6148,27Bet Her,16,30,13.2,+21,29,23,2.77,+0.94
6165,23Tau Sco,16,35,53.0,-28,12,58,2.82,-0.25
6175,13Zet Oph,16,37,09.5,-10,34,02,2.56,+0.02
6212,40Zet Her,16,41,17.2,+31,36,11,2.81,+0.65
6217,Alp TrA,16,48,39.9,-69,01,40,1.92,+1.44
6241,26Eps Sco,16,50,09.8,-34,17,36,2.29,+1.15
6247,Mu 1Sco,16,51,52.2,-38,02,51,3.08,-0.20
6285,Zet Ara,16,58,37.2,-55,59,25,3.13,+1.60
6299,27Kap Oph,16,57,40.1,+09,22,30,3.20,+1.15
6378,35Eta Oph,17,10,22.7,-15,43,29,2.43,+0.06
6380,Eta Sco,17,12,09.2,-43,14,21,3.33,+0.41
6396,22Zet Dra,17,08,47.2,+65,42,53,3.17,-0.12
6406,64Alp1Her,17,14,38.9,+14,23,25,3.48,+1.44
6410,65Del Her,17,15,01.9,+24,50,21,3.14,+0.08
6418,67Pi  Her,17,15,02.8,+36,48,33,3.16,+1.44
6453,42The Oph,17,22,00.6,-24,59,58,3.27,-0.22
6461,Bet Ara,17,25,18.0,-55,31,48,2.85,+1.46
6462,Gam Ara,17,25,23.6,-56,22,39,3.34,-0.13
6508,34Ups Sco,17,30,45.8,-37,17,45,2.69,-0.22
6510,Alp Ara,17,31,50.5,-49,52,34,2.95,-0.17
6527,35Lam Sco,17,33,36.5,-37,06,14,1.63,-0.22
6536,23Bet Dra,17,30,26.0,+52,18,05,2.79,+0.98
6553,The Sco,17,37,19.2,-42,59,52,1.87,+0.40
6556,55Alp Oph,17,34,56.1,+12,33,36,2.08,+0.15
6580,Kap Sco,17,42,29.3,-39,01,48,2.41,-0.22
6603,60Bet Oph,17,43,28.4,+04,34,02,2.77,+1.16
6615,Iot1Sco,17,47,35.1,-40,07,37,3.03,+0.51
6623,86Mu  Her,17,46,27.5,+27,43,14,3.42,+0.75
6630,,17,49,51.5,-37,02,36,3.21,+1.17
6698,64Nu  Oph,17,59,01.6,-09,46,25,3.34,+0.99
6705,33Gam Dra,17,56,36.4,+51,29,20,2.23,+1.52
6746,10Gam2Sgr,18,05,48.5,-30,25,27,2.99,+1.00
6832,Eta Sgr,18,17,37.6,-36,45,42,3.11,+1.56
6859,19Del Sgr,18,20,59.7,-29,49,41,2.70,+1.38
6869,58Eta Ser,18,21,18.6,-02,53,56,3.26,+0.94
6879,20Eps Sgr,18,24,10.3,-34,23,05,1.85,-0.03
6913,22Lam Sgr,18,27,58.2,-25,25,18,2.81,+1.04
7001,3Alp Lyr,18,36,56.3,+38,47,01,0.03,0.00
7039,27Phi Sgr,18,45,39.4,-26,59,27,3.17,-0.11
7106,10Bet Lyr,18,50,04.8,+33,21,46,3.45,0.00
7121,34Sig Sgr,18,55,15.9,-26,17,48,2.02,-0.22
7178,14Gam Lyr,18,58,56.6,+32,41,22,3.24,-0.05
7194,38Zet Sgr,19,02,36.7,-29,52,49,2.60,+0.08
7234,40Tau Sgr,19,06,56.4,-27,40,14,3.32,+1.19
7235,17Zet Aql,19,05,24.6,+13,51,48,2.99,+0.01
7236,16Lam Aql,19,06,14.9,-04,52,57,3.44,-0.09
7264,41Pi  Sgr,19,09,45.8,-21,01,25,2.89,+0.35
7310,57Del Dra,19,12,33.3,+67,39,42,3.07,+1.00
7377,30Del Aql,19,25,29.9,+03,06,53,3.36,+0.32
7417,6Bet1Cyg,19,30,43.3,+27,57,35,3.08,+1.13
7525,50Gam Aql,19,46,15.6,+10,36,48,2.72,+1.52
7528,18Del Cyg,19,44,58.5,+45,07,51,2.87,-0.03
7557,53Alp Aql,19,50,47.0,+08,52,06,0.77,+0.22
7635,12Gam Sge,19,58,45.4,+19,29,32,3.47,+1.57
7710,65The Aql,20,11,18.3,-00,49,17,3.23,-0.07
7776,9Bet Cap,20,21,00.7,-14,46,53,3.08,+0.79
7790,Alp Pav,20,25,38.9,-56,44,06,1.94,-0.20
7796,37Gam Cyg,20,22,13.7,+40,15,24,2.20,+0.68
7869,Alp Ind,20,37,34.0,-47,17,29,3.11,+1.00
7913,Bet Pav,20,44,57.5,-66,12,11,3.42,+0.16
7924,50Alp Cyg,20,41,25.9,+45,16,49,1.25,+0.09
7949,53Eps Cyg,20,46,12.7,+33,58,13,2.46,+1.03
7957,3Eta Cep,20,45,17.4,+61,50,20,3.43,+0.92
8115,64Zet Cyg,21,12,56.2,+30,13,37,3.20,+0.99
8162,5Alp Cep,21,18,34.8,+62,35,08,2.44,+0.22
8232,22Bet Aqr,21,31,33.5,-05,34,16,2.91,+0.83
8238,8Bet Cep,21,28,39.6,+70,33,39,3.23,-0.22
8308,8Eps Peg,21,44,11.2,+09,52,30,2.39,+1.53
8322,49Del Cap,21,47,02.4,-16,07,38,2.87,+0.29
8353,Gam Gru,21,53,55.7,-37,21,54,3.01,-0.12
8414,34Alp Aqr,22,05,47.0,-00,19,11,2.96,+0.98
8425,Alp Gru,22,08,14.0,-46,57,40,1.74,-0.13
8465,21Zet Cep,22,10,51.3,+58,12,04,3.35,+1.57
8502,Alp Tuc,22,18,30.1,-60,15,35,2.86,+1.39
8634,42Zet Peg,22,41,27.7,+10,49,53,3.40,-0.09
8636,Bet Gru,22,42,40.1,-46,53,05,2.10,+1.60
8650,44Eta Peg,22,43,00.1,+30,13,17,2.94,+0.86
8675,Eps Gru,22,48,33.3,-51,19,01,3.49,+0.08
8684,48Mu  Peg,22,50,00.2,+24,36,06,3.48,+0.93
8709,76Del Aqr,22,54,39.0,-15,49,15,3.27,+0.05
8728,24Alp PsA,22,57,39.1,-29,37,20,1.16,+0.09
8775,53Bet Peg,23,03,46.5,+28,04,58,2.42,+1.67
8781,54Alp Peg,23,04,45.7,+15,12,19,2.49,-0.04
8974,35Gam Cep,23,39,20.8,+77,37,57,3.21,+1.03
